community	medium	receiver	donor	compound	scs	mus	mps	smetana
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_glyald_e	0.25	0.01	1	0.0025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_gsn_e	0.25	0.01	1	0.0025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_gthrd_e	0.25	0.06	1	0.015
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_gua_e	0.25	0.06	1	0.015
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_hxan_e	0.25	0.03	1	0.0075
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_ins_e	0.25	0.01	1	0.0025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_lys__L_e	0.25	0.05	1	0.0125
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_orn_e	0.25	0.02	1	0.005
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_pi_e	0.25	1.0	1	0.25
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_trp__L_e	0.25	0.01	1	0.0025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_ura_e	0.25	0.08	1	0.02
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_uri_e	0.25	0.05	1	0.0125
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_acald_e	0.25	0.01	1	0.0025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_arg__L_e	0.25	0.1	1	0.025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_cellb_e	0.25	0.15	1	0.0375
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_cgly_e	0.25	0.07	1	0.0175
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_fe2_e	0.25	0.03	1	0.0075
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_fe3_e	0.25	0.96	1	0.24
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_glc__D_e	0.25	0.43	1	0.1075
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_glu__L_e	0.25	0.03	1	0.0075
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_gthrd_e	0.25	0.06	1	0.015
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_gua_e	0.25	0.06	1	0.015
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_inost_e	0.25	0.09	1	0.0225
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_lys__L_e	0.25	0.05	1	0.0125
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_orn_e	0.25	0.02	1	0.005
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_pi_e	0.25	1.0	1	0.25
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_ura_e	0.25	0.08	1	0.02
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.16_rename	M_uri_e	0.25	0.05	1	0.0125
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.20_rename	M_4abut_e	0.25	0.02	1	0.005
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.20_rename	M_acald_e	0.25	0.01	1	0.0025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-001_bin.20_rename	M_agm_e	0.25	0.03	1	0.0075
